unit,mb0,mb0,mb0,mb0,mb0,mb0,mb1,mb1,mb1,mb1,mb1,mb1,mb2,mb2,mb2,mb2,mb2,mb2,mb3,mb3,mb3,mb3,mb3,mb3,mb4,mb4,mb4,mb4,mb4,mb4
time,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist,atbase,atac,atdc,dsoc,consumption,dist
2018-01-01 08:15:00+01:00,False,False,True,0.0,106.59078999506815,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 08:30:00+01:00,False,False,True,0.0,106.59078999506815,0.0,False,False,True,0.3587023486207601,331.109860265317,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 08:45:00+01:00,False,False,True,0.0,106.59078999506815,0.0,False,False,True,0.0,331.109860265317,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 09:00:00+01:00,False,False,True,0.0,106.59078999506815,0.0,False,False,True,0.0,331.109860265317,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 09:15:00+01:00,False,False,True,0.0,106.59078999506815,0.0,False,False,True,0.0,331.109860265317,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 09:30:00+01:00,False,False,True,0.0,106.59078999506815,0.0,False,False,True,0.0,331.109860265317,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 09:45:00+01:00,False,False,True,0.0,106.59078999506815,0.0,False,False,True,0.0,331.109860265317,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 10:00:00+01:00,False,False,True,0.0,106.59078999506815,0.0,False,False,True,0.0,331.109860265317,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 10:15:00+01:00,False,False,True,0.0,106.59078999506815,0.0,False,False,True,0.0,331.109860265317,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 10:30:00+01:00,False,False,True,0.0,106.59078999506815,0.0,False,False,True,0.0,331.109860265317,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 10:45:00+01:00,False,False,True,0.0,106.59078999506815,0.0,False,False,True,0.0,331.109860265317,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 11:00:00+01:00,False,False,True,0.0,106.59078999506815,0.0,False,False,True,0.0,331.109860265317,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 11:15:00+01:00,False,False,True,0.0,106.59078999506815,0.0,False,False,True,0.0,331.109860265317,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 11:30:00+01:00,False,False,True,0.0,106.59078999506815,0.0,False,False,True,0.0,331.109860265317,0.0,False,False,True,0.1448756967573429,869.2541805440575,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 11:45:00+01:00,False,False,True,0.0,106.59078999506815,0.0,True,False,False,0.0,0.0,0.0,False,False,True,0.0,869.2541805440575,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 12:00:00+01:00,False,False,True,0.0,106.59078999506815,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 12:15:00+01:00,False,False,True,0.0,106.59078999506815,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 12:30:00+01:00,False,False,True,0.0,106.59078999506815,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
2018-01-01 12:45:00+01:00,False,False,True,0.0,106.59078999506815,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0,True,False,False,0.0,0.0,0.0
